class,trainset,valset,testset,total
1-Volvo,350,75,75,500
10-BMW,350,75,75,500
11-Jeep,350,75,75,500
12-Kia,350,75,75,500
13-Citroen,350,75,75,500
14-Land Rover,350,75,75,500
15-Lexus,350,75,75,500
16-Mazda,350,75,75,500
17-Mercedes,350,75,75,500
18-Mini,350,75,75,500
19-Mitsubishi,350,75,75,500
2-Volkswagen,350,75,75,500
20-Nissan,350,75,75,500
21-Opel,350,75,75,500
22-Peugeot,350,75,75,500
23-Renault,350,75,75,500
24-Seat,350,75,75,500
25-GMC,350,75,75,500
26-Smart,350,75,75,500
27-Subaru,350,75,75,500
28-Suzuki,350,75,75,500
29-Tesla,350,75,75,500
3-Hyundai,350,75,75,500
30-Toyota,350,75,75,500
31-Alfa Romeo,350,75,75,500
32-Acura,350,75,75,500
4-Lancia,350,75,75,500
5-Dacia,350,75,75,500
6-Daewoo,350,75,75,500
7-Ford,350,75,75,500
8-Skoda,350,75,75,500
9-Honda,350,75,75,500
